iter	RMSE
0	1.087169045
1	1.065912659
2	1.041659038
3	1.018542522
4	0.993876083
5	0.9736231528
6	0.9515460483
7	0.9282605622
8	0.908852898
9	0.8893695777
10	0.8709302734
11	0.8533578605
12	0.8361121085
13	0.8214262087
14	0.8071705334
15	0.7923950153
16	0.7784548612
17	0.763278539
18	0.7487359255
19	0.7348431405
20	0.7224191737
21	0.710900508
22	0.6995851239
23	0.6884118403
24	0.6779398492
25	0.6683886732
26	0.6589847331
27	0.6505943836
28	0.6411060324
29	0.6322932923
30	0.6245486681
31	0.6176116462
32	0.6105144436
33	0.6023399438
34	0.5950055589
35	0.589294031
36	0.5810863429
37	0.5735292699
38	0.5662961517
39	0.5600425013
40	0.5545024652
41	0.549142256
42	0.5430744092
43	0.5372221587
44	0.5317812505
45	0.5270922871
46	0.5218229855
47	0.5180945988
48	0.5132949671
49	0.5087795574
50	0.5049300142
51	0.5004782922
52	0.4965720387
53	0.4929707013
54	0.4888290231
55	0.4856558835
56	0.4820507078
57	0.4785325347
58	0.4758938753
59	0.4722120426
60	0.4693097995
61	0.4665970078
62	0.4641504453
63	0.4618686293
64	0.4591732546
65	0.4572121611
66	0.4549845233
67	0.452836034
68	0.4507305165
69	0.4483880525
70	0.4460734191
71	0.4438657612
72	0.4421780371
73	0.4405149136
74	0.4385288186
75	0.4366845017
76	0.4352186428
77	0.4335474475
78	0.4316245391
79	0.4300274018
80	0.4283923427
81	0.4271983036
82	0.4252809108
83	0.4237987813
84	0.4223661199
85	0.4210300785
86	0.4192594101
87	0.4174611059
88	0.4158071141
89	0.4139584096
90	0.4127494529
91	0.4114317573
92	0.4102230889
93	0.4087226715
94	0.4075077644
95	0.4063494153
96	0.405226786
97	0.4036377949
98	0.4025382113
99	0.4014115249
100	0.4002819689
101	0.3993315744
102	0.3982436088
103	0.397367993
104	0.3963118929
105	0.3954262274
106	0.3943377948
107	0.3931904218
108	0.3917149775
109	0.3908010078
110	0.3898594887
111	0.3889643427
112	0.3874811466
113	0.3862876792
114	0.3852117832
115	0.384206377
116	0.3827011651
117	0.3818638181
118	0.3810401527
119	0.3799793993
120	0.3795230733
121	0.3787309197
122	0.378093706
123	0.377381456
124	0.3763027112
125	0.3752423699
126	0.3745557508
127	0.3737667699
128	0.3727028964
129	0.3719009006
130	0.3714300827
131	0.3707471809
132	0.3700648159
133	0.3688837704
134	0.368089095
135	0.3676471537
136	0.3666422285
137	0.3659252255
138	0.3651854159
139	0.364643893
140	0.3639561687
141	0.3633578252
142	0.3626525471
143	0.3618764396
144	0.3613187699
145	0.3606320515
146	0.359798953
147	0.3591952234
148	0.3583741537
149	0.3576980675
150	0.3566623563
151	0.3558702106
152	0.3550983316
153	0.3546125144
154	0.3538609967
155	0.3531156454
156	0.3525608293
157	0.3515747053
158	0.3510240574
159	0.3502021568
160	0.3495463423
161	0.3490568231
162	0.3482179669
163	0.347684536
164	0.3470754273
165	0.3465699142
166	0.3460835354
167	0.3455656902
168	0.344877472
169	0.3441386502
170	0.3435191291
171	0.3427603551
172	0.342120593
173	0.341488605
174	0.3408234289
175	0.3401483167
176	0.3396939837
177	0.339105959
178	0.3385019206
179	0.3377865502
180	0.3373289015
181	0.3367716363
182	0.336236578
183	0.3354932981
184	0.3348962983
185	0.3345331929
186	0.3339776883
187	0.3331490202
188	0.3328953141
189	0.3320113381
190	0.3314290278
191	0.330702568
192	0.3299739779
193	0.3293928188
194	0.3290181254
195	0.3280820727
196	0.3276917846
197	0.3273057083
198	0.3265976151
